 [k: 1]  [k_values[k]: [(1, 1)]] 
 [k: 56]  [k_values[k]: [(1, 30), (3, 10), (5, 6), (9, 5), (15, 2), (25, 1), (45, 1), (75, 1)]] 
 [k: 57]  [k_values[k]: [(1, 57)]] 
 [k: 58]  [k_values[k]: [(1, 58)]] 
 [k: 59]  [k_values[k]: [(1, 38), (3, 20), (79, 1)]] 
 [k: 60]  [k_values[k]: [(1, 60)]] 
 [k: 61]  [k_values[k]: [(1, 42), (5, 10), (7, 6), (35, 2), (49, 1)]] 
 [k: 62]  [k_values[k]: [(1, 40), (3, 21), (83, 1)]] 
 [k: 63]  [k_values[k]: [(1, 54), (11, 6), (23, 3)]] 
 [k: 64]  [k_values[k]: [(1, 64)]] 
 [k: 65]  [k_values[k]: [(1, 42), (3, 14), (9, 7), (29, 1), (87, 1)]] 
 [k: 66]  [k_values[k]: [(1, 52), (5, 13), (53, 1)]] 
 [k: 67]  [k_values[k]: [(1, 67)]] 
 [k: 68]  [k_values[k]: [(1, 36), (3, 18), (7, 6), (13, 2), (21, 3), (39, 2), (91, 1)]] 
 [k: 69]  [k_values[k]: [(1, 69)]] 
 [k: 70]  [k_values[k]: [(1, 70)]] 
 [k: 71]  [k_values[k]: [(1, 36), (3, 18), (5, 8), (15, 5), (19, 2), (57, 1), (95, 1)]] 
 [k: 72]  [k_values[k]: [(1, 68), (17, 4)]] 
 [k: 73]  [k_values[k]: [(1, 73)]] 
 [k: 74]  [k_values[k]: [(1, 44), (3, 16), (9, 4), (11, 5), (27, 3), (33, 1), (99, 1)]] 
 [k: 75]  [k_values[k]: [(1, 62), (7, 11), (43, 2)]] 
 [k: 76]  [k_values[k]: [(1, 60), (5, 15), (61, 1)]] 
 [k: 77]  [k_values[k]: [(1, 50), (3, 26), (103, 1)]] 
 [k: 78]  [k_values[k]: [(1, 78)]] 
 [k: 79]  [k_values[k]: [(1, 79)]] 
 [k: 80]  [k_values[k]: [(1, 52), (3, 27), (107, 1)]] 
 [k: 81]  [k_values[k]: [(1, 60), (5, 12), (13, 5), (25, 3), (65, 1)]] 
 [k: 82]  [k_values[k]: [(1, 68), (7, 12), (47, 2)]] 
 [k: 83]  [k_values[k]: [(1, 54), (3, 18), (9, 9), (37, 1), (111, 1)]] 
 [k: 84]  [k_values[k]: [(1, 84)]] 
 [k: 85]  [k_values[k]: [(1, 74), (11, 8), (31, 3)]] 
 [k: 86]  [k_values[k]: [(1, 44), (3, 22), (5, 10), (15, 6), (23, 2), (69, 1), (115, 1)]] 
 [k: 87]  [k_values[k]: [(1, 87)]] 
 [k: 88]  [k_values[k]: [(1, 88)]] 
 [k: 89]  [k_values[k]: [(1, 48), (3, 24), (7, 8), (17, 2), (21, 4), (51, 2), (119, 1)]] 
 [k: 90]  [k_values[k]: [(1, 85), (19, 5)]] 
 [k: 91]  [k_values[k]: [(1, 72), (5, 18), (73, 1)]] 
 [k: 92]  [k_values[k]: [(1, 60), (3, 20), (9, 10), (41, 1), (123, 1)]] 
 [k: 93]  [k_values[k]: [(1, 93)]] 
 [k: 94]  [k_values[k]: [(1, 84), (13, 7), (29, 3)]] 
 [k: 95]  [k_values[k]: [(1, 62), (3, 32), (127, 1)]] 
 [k: 96]  [k_values[k]: [(1, 60), (5, 14), (7, 10), (11, 6), (35, 3), (55, 2), (77, 1)]] 
 [k: 97]  [k_values[k]: [(1, 97)]] 
 [k: 98]  [k_values[k]: [(1, 64), (3, 33), (131, 1)]] 
 [k: 99]  [k_values[k]: [(1, 99)]] 
 [k: 100]  [k_values[k]: [(1, 100)]] 
